title,skills,experience,salary_lpa,certifications
Technical Lead,"SQL, Python",3-7 years,11.7,
Agile Coach,"Training, Coaching, Process Optimization, Leadership",0-1 year,5.3,CAL
Data Analyst,"Excel, Statistics, Power BI, Python",0-1 year,4.0,Google Data Analytics
Machine Learning Engineer,"Python, TensorFlow, Machine Learning, GCP",0-1 year,3.6,TensorFlow Cert
Engineering Manager,"Spark, Python, SQL",0-1 year,7.3,
Operations Manager,"Leadership, Analytics, Process Optimization, Supply Chain",5+ years,20.8,"Six Sigma, MBA"
Full Stack Developer,"Kubernetes, Docker, Python, SQL",1-3 years,6.6,
Business Manager,"Negotiation, Business Strategy, Leadership, P&L Management",5+ years,29.0,"MBA, CHRL"
Solutions Architect,"Machine Learning, SQL, Python",2-5 years,8.5,
Business Analyst Manager,"AWS, Leadership, Agile, Power BI",0-1 year,6.9,MBA
Senior Engineer,"Machine Learning, SQL, Python",0-1 year,5.3,
Machine Learning Engineer,"AWS, TensorFlow, Machine Learning, Deep Learning",3-7 years,17.6,"Azure ML, TensorFlow Cert"
Project Manager,"Agile, Project Management, Leadership, Risk Management",0-1 year,7.0,"MBA, CAPM"
Product Lead,"Leadership, Data Analysis, Communication, Product Strategy",2-5 years,14.2,"PSPO, MBA"
Senior Engineer,"Python, SQL",0-1 year,4.9,
DevOps Engineer,"AWS, CI/CD, Kubernetes, Jenkins",1-3 years,7.3,"AWS DevOps, Jenkins"
Backend Developer,"Node.js, REST API, Python, Spring Boot",1-3 years,9.4,Spring Professional
Business Analyst Manager,"SQL, Leadership, Agile, Power BI",3-7 years,21.5,CBAP
Data Engineer,"Kubernetes, SQL, AWS, Python",2-5 years,9.0,
Operations Manager,"Operations, Supply Chain, Process Optimization, Analytics",1-3 years,10.7,"Six Sigma, MBA"
DevOps Engineer,"Kubernetes, Git, CI/CD, AWS",3-7 years,18.7,Kubernetes (CKA)
Operations Manager,"Supply Chain, Operations, Leadership, Analytics",0-1 year,6.5,"APICS, Six Sigma"
Project Manager,"Communication, Project Management, Leadership, Risk Management",2-5 years,15.0,CAPM
Backend Developer,"Node.js, Spring Boot, Python, REST API",1-3 years,7.1,"AWS Developer, Spring Professional"
DevOps Engineer,"Kubernetes, CI/CD, Jenkins, Linux",0-1 year,4.3,Kubernetes (CKA)
Business Analyst,"Power BI, Tableau, Excel, Communication",2-5 years,10.9,
Business Analyst Manager,"Agile, Excel, Power BI, Leadership",3-7 years,20.7,CBAP
Engineering Manager,"Python, SQL",1-3 years,11.0,
Cloud Engineer,"Machine Learning, AWS, GCP, Terraform",5+ years,17.0,"AWS Solutions Architect, GCP Associate"
Business Analyst Manager,"Leadership, Agile, Excel, SQL",3-7 years,18.4,"CCBA, CBAP"
Cloud Engineer,"Deep Learning, Terraform, Azure, AWS",3-7 years,13.5,"AZ-305, GCP Associate"
Finance Manager,"Accounting, Risk Management, Budgeting, Excel",3-7 years,16.6,CA
Program Manager,"Azure, Leadership, Stakeholder Management, Program Management",1-3 years,8.3,"SAFe, MBA"
BI Analyst,"Tableau, Power BI, SQL, Excel",1-3 years,7.7,
Data Scientist,"TensorFlow, Deep Learning, Machine Learning, Statistics",0-1 year,4.4,AWS ML
Data Analyst,"Excel, Tableau, SQL, Power BI",2-5 years,12.0,"Google Data Analytics, Power BI Analyst"
Agile Coach,"Coaching, Training, Agile, Process Optimization",2-5 years,16.6,CSM
Full Stack Developer,"Docker, Python, JavaScript, SQL",0-1 year,5.1,
BI Analyst,"Data Visualization, Tableau, SQL, Power BI",5+ years,15.2,
Project Manager,"Risk Management, Communication, Agile, Project Management",5+ years,20.5,CAPM
Business Analyst Manager,"Excel, Power BI, SQL, Leadership",3-7 years,15.8,"CBAP, MBA"
Product Manager,"Deep Learning, Leadership, Data Analysis, Market Analysis",1-3 years,7.9,"MBA, CSPM"
Senior Engineer,"SQL, Python",1-3 years,9.9,
Data Analyst,"Power BI, Tableau, SQL, Excel",3-7 years,12.0,"Google Data Analytics, Tableau Specialist"
Finance Manager,"Budgeting, Risk Management, Financial Analysis, Accounting",3-7 years,12.8,MBA
DevOps Engineer,"AWS, Jenkins, Kubernetes, CI/CD",0-1 year,5.2,"AWS DevOps, Kubernetes (CKA)"
Product Lead,"AWS, Data Analysis, User Research, Leadership",2-5 years,11.6,PSPO
Business Manager,"P&L Management, Leadership, Analytics, Negotiation",1-3 years,8.1,CHRL
Backend Developer,"SQL, Spring Boot, Java, Python",0-1 year,4.0,"Spring Professional, AWS Developer"
